event_id,league,home_team,away_team,event_time,timestamp,sport_id,retrieved_at
179715709,LOL - LCK,Dplus KIA,DRX,2025-08-22 06:00:00,1755856800,151,2025-08-19 20:38:39
179712950,LOL - LPL Split 3,Edward Gaming,LGD Gaming,2025-08-22 07:00:00,1755860400,151,2025-08-19 20:38:39
179715872,LOL - LCP Season Finals,CTBC Flying Oyster,GAM Esports,2025-08-22 08:00:00,1755864000,151,2025-08-19 20:38:39
179606993,LOL - TCL Summer,Misa Esports,The Forbidden Five,2025-08-22 10:30:00,1755873000,151,2025-08-19 20:38:39
179606996,LOL - TCL Summer,Bushido Wildcats,Dark Passage,2025-08-22 11:30:00,1755876600,151,2025-08-19 20:38:39
179693611,LOL - LFL Summer,Ici Japon Corp. Esport,Team BDS.A,2025-08-22 12:00:00,1755878400,151,2025-08-19 20:38:39
179606997,LOL - TCL Summer,Papara SuperMassive,BoostGate Esports,2025-08-22 12:30:00,1755880200,151,2025-08-19 20:38:39
179606999,LOL - TCL Summer,ULF Esports,Besiktas Esports,2025-08-22 13:30:00,1755883800,151,2025-08-19 20:38:39
179693612,LOL - LFL Summer,Gentle Mates,BK ROG Esports,2025-08-22 15:00:00,1755889200,151,2025-08-19 20:38:39
179640179,LOL - NACL Split 2 Playoffs,Blue Otter,Conviction,2025-08-22 17:00:00,1755896400,151,2025-08-19 20:38:39
179692671,LOL - NACL Split 2 Playoffs,Dorado Gaming,Luminosity Gaming,2025-08-22 20:00:00,1755907200,151,2025-08-19 20:38:39
179715710,LOL - LCK,Hanwha Life Esports,Gen.G,2025-08-23 02:00:00,1755928800,151,2025-08-19 20:38:39
179712951,LOL - LPL Split 3,LNG Esports,ThunderTalk Gaming,2025-08-23 03:00:00,1755932400,151,2025-08-19 20:38:39
179715711,LOL - LCK,OKSavingsBank BRION,DN Freecs,2025-08-23 04:00:00,1755936000,151,2025-08-19 20:38:39
179712952,LOL - LPL Split 3,Team WE,Top Esports,2025-08-23 05:00:00,1755939600,151,2025-08-19 20:38:39
179764486,LOL - LCP Season Finals,Chiefs Esports Club,Fukuoka SB Hawks gaming,2025-08-23 05:30:00,1755941400,151,2025-08-19 20:38:39
179712953,LOL - LPL Split 3,Weibo Gaming,Invictus Gaming,2025-08-23 07:00:00,1755946800,151,2025-08-19 20:38:39
179761099,LOL - Hitpoint Masters Summer Playoffs,Tan'i eSports CZ,Team UNiTY,2025-08-23 07:00:00,1755946800,151,2025-08-19 20:38:39
179715873,LOL - LCP Season Finals,MGN Vikings Esports,Team Secret Whales,2025-08-23 08:00:00,1755950400,151,2025-08-19 20:38:39
179390057,LOL - Equal Esports Cup Playoffs,G2 Hel,Solary Academy,2025-08-23 09:00:00,1755954000,151,2025-08-19 20:38:39
179746848,LOL - Hitpoint Masters Summer Playoffs,eSuba,EXILE esports,2025-08-23 11:00:00,1755961200,151,2025-08-19 20:38:39
179390030,LOL - LTA South Split 3,LOUD,Fluxo W7M,2025-08-23 12:00:00,1755964800,151,2025-08-19 20:38:39
179428801,LOL - LTA North Split 3,Disguised,Dignitas,2025-08-23 16:00:00,1755979200,151,2025-08-19 20:38:39
179715712,LOL - LCK,BNK FearX,Dplus KIA,2025-08-24 02:00:00,1756015200,151,2025-08-19 20:38:39
179715713,LOL - LCK,KT Rolster,T1,2025-08-24 04:00:00,1756022400,151,2025-08-19 20:38:39
179712954,LOL - LPL Split 3,Edward Gaming,LNG Esports,2025-08-24 05:00:00,1756026000,151,2025-08-19 20:38:39
179712955,LOL - LPL Split 3,Anyone's Legend,JD Gaming,2025-08-24 07:00:00,1756033200,151,2025-08-19 20:38:39
179893493,LOL - Prime League Season Finals,BIG,TeamOrangeGaming,2025-08-24 08:00:00,1756036800,151,2025-08-19 20:38:39
179390031,LOL - LTA South Split 3,Isurus,Leviatan,2025-08-24 12:00:00,1756051200,151,2025-08-19 20:38:39
179428802,LOL - LTA North Split 3,LYON,100 Thieves,2025-08-24 16:00:00,1756065600,151,2025-08-19 20:38:39
179763470,LOL - LEC Summer,SK Gaming,G2 Esports,2025-08-25 11:00:00,1756134000,151,2025-08-19 20:38:39
179763471,LOL - LEC Summer,Team BDS,Team Heretics,2025-08-25 13:00:00,1756141200,151,2025-08-19 20:38:39
179857388,LOL - CD Split 2 Playoffs,KaBuM! IDL,Corinthians Esports,2025-08-25 16:00:00,1756152000,151,2025-08-19 20:38:39
