2025-08-20 11:15:22 | INFO     | __init__             | 📀 Database inicializado: C:\ProgramData\anaconda3\envs\bet365\lol_api\data\lol_odds.db
2025-08-20 11:15:22 | INFO     | run_update           | ============================================================
2025-08-20 11:15:22 | INFO     | run_update           | 🚀 INICIANDO ATUALIZAÇÃO DO BANCO DE ODDS LOL
2025-08-20 11:15:22 | INFO     | run_update           | ============================================================
2025-08-20 11:15:22 | INFO     | run_update           | 
📅 FASE 1: Buscando eventos...
2025-08-20 11:15:22 | INFO     | fetch_upcoming_events | 🔍 Buscando eventos para os próximos 10 dias
2025-08-20 11:15:22 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-20
2025-08-20 11:15:23 | INFO     | fetch_upcoming_events |    ✅ 7 jogos de LoL encontrados
2025-08-20 11:15:23 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-21
2025-08-20 11:15:23 | INFO     | fetch_upcoming_events |    ✅ 19 jogos de LoL encontrados
2025-08-20 11:15:23 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-22
2025-08-20 11:15:24 | INFO     | fetch_upcoming_events |    ✅ 15 jogos de LoL encontrados
2025-08-20 11:15:24 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-23
2025-08-20 11:15:24 | INFO     | fetch_upcoming_events |    ✅ 13 jogos de LoL encontrados
2025-08-20 11:15:24 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-24
2025-08-20 11:15:27 | INFO     | fetch_upcoming_events |    ✅ 7 jogos de LoL encontrados
2025-08-20 11:15:27 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-25
2025-08-20 11:15:27 | INFO     | fetch_upcoming_events |    ✅ 3 jogos de LoL encontrados
2025-08-20 11:15:27 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-26
2025-08-20 11:15:28 | INFO     | fetch_upcoming_events |    ✅ 3 jogos de LoL encontrados
2025-08-20 11:15:28 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-27
2025-08-20 11:15:28 | INFO     | fetch_upcoming_events |    ✅ 1 jogos de LoL encontrados
2025-08-20 11:15:28 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-28
2025-08-20 11:15:28 | INFO     | fetch_upcoming_events |    ✅ 1 jogos de LoL encontrados
2025-08-20 11:15:28 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-29
2025-08-20 11:15:29 | INFO     | fetch_upcoming_events |    ℹ️  Nenhum jogo de LoL encontrado
2025-08-20 11:15:29 | INFO     | fetch_upcoming_events | 📅 Buscando eventos para 2025-08-30
2025-08-20 11:15:29 | INFO     | fetch_upcoming_events |    ✅ 1 jogos de LoL encontrados
2025-08-20 11:15:29 | INFO     | fetch_upcoming_events | 📊 Total de eventos encontrados: 70
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Gen.G.GA vs T1.EA (sem IDs) - LOL - LCK CL Rounds 3-5
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: DN Freecs.Ch vs Dplus KIA.Ch (sem IDs) - LOL - LCK CL Rounds 3-5
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: DRX vs DN Freecs (sem IDs) - LOL - LCK
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: LGD Gaming vs ThunderTalk Gaming (sem IDs) - LOL - LPL Split 3
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Deep Cross Gaming vs Frank Esports (sem IDs) - LOL - PCS Split 3
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Gen.G vs Nongshim RedForce (sem IDs) - LOL - LCK
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: FunPlus Phoenix vs Anyone's Legend (sem IDs) - LOL - LPL Split 3
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: DRX.Ch vs KT Rolster.Ch (sem IDs) - LOL - LCK CL Rounds 3-5
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Nongshim.EA vs Hanwha Life Esports.Ch (sem IDs) - LOL - LCK CL Rounds 3-5
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: KT Rolster vs Hanwha Life Esports (sem IDs) - LOL - LCK
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Ultra Prime vs Edward Gaming (sem IDs) - LOL - LPL Split 3
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: OKSavingsBank BRION vs BNK FearX (sem IDs) - LOL - LCK
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: JD Gaming vs Bilibili Gaming (sem IDs) - LOL - LPL Split 3
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Besiktas Esports vs The Forbidden Five (sem IDs) - LOL - TCL Summer
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: BoostGate Esports vs ULF Esports (sem IDs) - LOL - TCL Summer
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Los Ratones vs Rich Gang (sem IDs) - LOL - NLC Summer Playoffs
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Galions vs Joblife (sem IDs) - LOL - LFL Summer
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Los Heretics vs UCAM Esports (sem IDs) - LOL - Superliga Summer Split Playoffs
2025-08-20 11:15:29 | INFO     | save_events          | ✅ Novo evento: Dark Passage vs Papara SuperMassive (sem IDs) - LOL - TCL Summer
